name,ID,description,collection layers,platforms,created,modified,type,version,url
Active Directory Credential Request,,"A user requested active directory credentials, such as a ticket or token (ex: Windows EID 4769)",,,20 October 2021,,datacomponent,1.0,
Active Directory Object Access,,"Opening of an active directory object, typically to collect/read its value (ex: Windows EID 4661)",,,20 October 2021,,datacomponent,1.0,
Active Directory Object Creation,,Initial construction of a new active directory object (ex: Windows EID 5137),,,20 October 2021,,datacomponent,1.0,
Active Directory Object Deletion,,Removal of an active directory object (ex: Windows EID 5141),,,20 October 2021,,datacomponent,1.0,
Active Directory Object Modification,,Changes made to an active directory object (ex: Windows EID 5163 or 5136),,,20 October 2021,,datacomponent,1.0,
Application Log Content,,"Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)",,,20 October 2021,,datacomponent,1.0,
Certificate Registration,,Queried or logged information highlighting current and expired digital certificates (ex: Certificate transparency),,,20 October 2021,,datacomponent,1.0,
Cloud Service Disable,,Deactivation or stoppage of a cloud service (ex: AWS Cloudtrail StopLogging),,,20 October 2021,,datacomponent,1.0,
Cloud Service Enumeration,,An extracted list of cloud services (ex: AWS ECS ListServices),,,20 October 2021,,datacomponent,1.0,
Cloud Service Metadata,,"Contextual data about a cloud service and activity around it such as name, type, or purpose/function",,,20 October 2021,,datacomponent,1.0,
Cloud Service Modification,,"Changes made to a cloud service, including its settings and/or data (ex: AWS CloudTrail DeleteTrail or DeleteConfigRule)",,,20 October 2021,,datacomponent,1.0,
Cloud Storage Access,,"Opening of a cloud storage infrastructure, typically to collect/read its value (ex: AWS S3 GetObject)",,,20 October 2021,,datacomponent,1.0,
Cloud Storage Creation,,Initial construction of new cloud storage infrastructure (ex: AWS S3 CreateBucket),,,20 October 2021,,datacomponent,1.0,
Cloud Storage Deletion,,Removal of cloud storage infrastructure (ex: AWS S3 DeleteBucket),,,20 October 2021,,datacomponent,1.0,
Cloud Storage Enumeration,,An extracted list of cloud storage infrastructure (ex: AWS S3 ListBuckets or ListObjects),,,20 October 2021,,datacomponent,1.0,
Cloud Storage Metadata,,"Contextual data about cloud storage infrastructure and activity around it such as name, size, or owner",,,20 October 2021,,datacomponent,1.0,
Cloud Storage Modification,,"Changes made to cloud storage infrastructure, including its settings and/or data (ex: AWS S3 PutObject or PutObjectAcl)",,,20 October 2021,,datacomponent,1.0,
Command Execution,,"The execution of a line of text, potentially with arguments, created from program code (e.g. a cmdlet executed via powershell.exe, interactive commands like >dir, shell executions, etc. )",,,20 October 2021,,datacomponent,1.1,
Container Creation,,Initial construction of a new container (ex: docker create <container_name>),,,20 October 2021,,datacomponent,1.0,
Container Enumeration,,An extracted list of containers (ex: docker ps),,,20 October 2021,,datacomponent,1.0,
Container Start,,Activation or invocation of a container (ex: docker start or docker restart),,,20 October 2021,,datacomponent,1.0,
Active Dns,,Queried domain name system (DNS) registry data highlighting current domain to IP address resolutions (ex: dig/nslookup queries),,,20 October 2021,,datacomponent,1.0,
Domain Registration,,Information about domain name assignments and other domain metadata (ex: WHOIS),,,20 October 2021,,datacomponent,1.0,
Passive Dns,,Logged domain name system (DNS) data highlighting timelines of domain to IP address resolutions (ex: passive DNS),,,20 October 2021,,datacomponent,1.0,
Drive Access,,Opening of a data storage device with an assigned drive letter or mount point,,,20 October 2021,,datacomponent,1.0,
Drive Creation,,Initial construction of a drive letter or mount point to a data storage device,,,20 October 2021,,datacomponent,1.0,
Drive Modification,,Changes made to a drive letter or mount point of a data storage device,,,20 October 2021,,datacomponent,1.0,
Driver Load,,Attaching a driver to either user or kernel-mode of a system (ex: Sysmon EID 6),,,20 October 2021,,datacomponent,1.0,
Driver Metadata,,"Contextual data about a driver and activity around it such as driver issues reporting or integrity (page hash, code) checking",,,20 October 2021,,datacomponent,1.0,
File Access,,"Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)",,,20 October 2021,,datacomponent,1.0,
File Creation,,Initial construction of a new file (ex: Sysmon EID 11),,,20 October 2021,,datacomponent,1.0,
File Deletion,,"Removal of a file (ex: Sysmon EID 23, macOS ESF EID ES_EVENT_TYPE_AUTH_UNLINK, or Linux commands auditd unlink, rename, rmdir, unlinked, or renameat rules)",,,20 October 2021,,datacomponent,1.0,
File Metadata,,"Contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc.",,,20 October 2021,,datacomponent,1.0,
File Modification,,"Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)",,,20 October 2021,,datacomponent,1.0,
