EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
add_group,Triggered when a user-space group is added,DS0036,group,group_creation,process/user,created,group
add_user,Triggered when a user-space user account is created,DS0002,user_account,user_account_creation,process/user,created,user
anom_abend,"Triggered when a processes ends abnormally (with core dump, if enabled)",DS0009,process,process_termination,process/user,deleted,process
anom_add_account,Triggered when a user-space account addition ends abnormally,DS0002,user_account,user_account_creation,process/user,created,user
anom_del_account,Triggered when a user-space account deletion ends abnormally,DS0002,user_account,user_account_deletion,process/user,deleted,user
anom_link,Triggered when suspicious use of file links is detected,DS0022,file,file_access,process/user,created,file
anom_login_failures,Triggered when the limit of failed login attempts is reached,DS0002,user_account,user_account_authentication,service,accessed,user
anom_login_location,Triggered when a login atempt is made from forbidden location,DS0002,user_account,user_account_authentication,service,closed,user
anom_login_sessions,Triggered when a login attempt reaches max amount of sessions,DS0002,user_account,user_account_authentication,service,closed,user
anom_login_time,Triggered when a login attempt is made at a time when prevented,DS0002,user_account,user_account_authentication,service,closed,user
anom_promiscuous,Triggered when a device enables or disables promiscuous mode,DS0019,service,service_modification,process/user,modified,service
avc,Triggered to record an SELinux permission check,DS0019,service,service_access,service,modified,service
config_change,audit_enabled record field contains 1 or 2,DS0019,service,service_modification,process/user,modified,service
config_change,audit_enabled record field contains 0,DS0019,service,service_modification,process/user,modified,service
config_change,op record field contains add rule,DS0019,service,service_modification,process/user,modified,service
config_change,op record field contains remove rule,DS0019,service,service_modification,process/user,modified,service
config_change,audit_failure record field contains value 0,DS0019,service,service_modification,service,modified,service
config_change,audit_failure record field contains value 1,DS0019,service,service_modification,service,modified,service
config_change,audit_failure record field contains value 2,DS0019,service,service_modification,service,modified,service
config_change,any other CONFIG_CHANGE cases not specified above,DS0019,service,service_modification,process/user,modified,service
cred_acq,Triggered when a user acquires user-space credentials,DS0002,user_account,user_account_metadata,service,accessed,user_account
cred_disp,Triggered when a user disposes of user-space credentials,DS0002,user_account,user_account_metadata,service,deleted,user_account
cred_refr,Triggered when a user refreshes their user-space credentials,DS0002,user_account,user_account_access,process/user,accessed,user_account
crypto_key_user,Triggered to record crypto key identifier used for crypto purposes,DS0028,logon_session,logon_session_metadata,service,accessed,logon_session
crypto_session,Triggered to record parameters set during a TLS session establishment,DS0028,logon_session,logon_session_creation,service,created,logon
daemon_abort,Triggered when a daemon is stopped due to an error,DS0019,service,service_metadata,process/user,terminated,service
daemon_config,Triggered when a daemon configuration change is detected,DS0019,service,service_modification,process/user,modified,service
daemon_end,Triggered when a daemon is successfully stopped,DS0019,service,service_metadata,process/user,terminated,service
daemon_resume,Triggered when the auditd daemon resumes logging,DS0019,service,service_metadata,service,resumed,service
daemon_rotate,Triggered when the auditd daemon rotates the Audit log files,DS0019,service,service_metadata,service,modified,service
daemon_start,Triggered when the auditd daemon is started,DS0019,service,service_creation,process/user,created,service
del_group,Triggered when a user-space group is deleted,DS0036,group,group_deletion,process/user,deleted,group
del_user,Triggered when a user-space user is deleted,DS0002,user_account,user_account_deletion,process/user,deleted,user
fs_relabel,Triggered when a file system relabel operation is detected,DS0016,drive,drive_modification,process/user,modified,drive
label_level_change,Triggered when an object's level label is modified,DS0022,file,file_modification,process/user,modified,file
label_override,Triggered when administrator overrides object's level label,DS0022,file,file_modification,user,modified,file
login,Triggered to record relevant login information when user logs into system,DS0028,logon_session,logon_session_metadata,service,modified,logon_session
mac_cipsov4_add,Triggered when Commercial Internet Protocol Security Option user adds a new Domain of Interpretation (DOI) via NetLabel,DS0019,service,service_modification,user,modified,service
mac_cipsov4_del,Triggered when a CIPSO user deletes an existing DOI. Adding DOIs is a part of the packet labeling capabilities of the kernel provided by NetLabel.,DS0019,service,service_modification,user,modified,service
mac_config_change,Triggered when an SELinux Boolean value is changed,DS0019,service,service_modification,process/user,modified,service
mac_map_add,Triggered when a new Linux Security Module (LSM) domain mapping is added. LSM domain mapping is a part of the packet labeling capabilities of the kernel provided by NetLabel.,DS0019,service,service_modification,user,modified,service
mac_map_del,Triggered when existing LSM domain mapping is deleted,DS0019,service,service_modification,user,modified,service
mac_policy_load,Triggered when a SELinux Policy file is loaded,DS0019,service,service_creation,service,created,service
mac_status,"Triggered when the SELinux mode is changed (enforcing, permissive, etc)",DS0019,service,service_modification,process/user,modified,service
mac_unlbl_allow,Triggered when unlabeled traffic is allowed when using packet labeling,DS0029,network_traffic,network_traffic_content,process/user,accessed,network
netfilter_cfg,Triggered when Netfilter chain modifications are detected,DS0018,firewall,firewall_rule_modification,process/user,modified,firewall
resp_acct_lock,Triggered when a user account is locked,DS0002,user_account,user_account_authentication,process/user,locked,user_account
resp_acct_unlock_timed,Triggered when user account is unlocked after configured time,DS0002,user_account,user_account_authentication,service,unlocked,user_account
role_assign,Triggered when an administrator user assigns user to SELinux role,DS0019,service,service_modification,process/user,modified,service
