EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
GetOpenIDConnectProvider,Returns information about the specified OpenID Connect (OIDC) provider resource object in IAM.,DS0026,Active Directory,Active Directory Object Access,User/Process,Accessed,Connect Provider
CreateOpenIDConnectProvider,"Creates an IAM entity to describe an identity provider (IdP) that supports OpenID Connect (OIDC).

The OIDC provider that you create with this operation can be used as a principal in a role's trust policy. Such a policy establishes a trust relationship between AWS and the OIDC provider.",DS0026,Active Directory,Active Directory Object Creation,User,Create,Iam Account
DeleteOpenIDConnectProvider,"Deletes an OpenID Connect identity provider (IdP) resource object in IAM.

Deleting an IAM OIDC provider resource does not update any roles that reference the provider as a principal in their trust policies. Any attempt to assume a role that references a deleted provider fails.",DS0026,Active Directory,Active Directory Object Deletion,User/Process,Delete,Oidc Identity Provider
DeleteSAMLProvider,"Deletes a SAML provider resource in IAM.

Deleting the provider resource from IAM does not update any roles that reference the SAML provider resource's ARN as a principal in their trust policies. Any attempt to assume a role that references a non-existent provider resource ARN fails.",DS0026,Active Directory,Active Directory Object Deletion,User/Process,Delete,Active Directory
ListOpenIDConnectProviders,Lists information about the IAM OpenID Connect (OIDC) provider resource objects defined in the AWS account.,DS0026,Active Directory,Active Directory Object Enumeration,Iam User/Process,Enumerates,Openidconnectproviders (Oicp)
ListOpenIDConnectProviderTags,Lists the tags that are attached to the specified OpenID Connect (OIDC)-compatible identity provider. The returned list of tags is sorted by tag key.,DS0026,Active Directory,Active Directory Object Enumeration,Iam User/Process,Enumerates,Active Directory
ListSAMLProviders,Lists the SAML provider resource objects defined in IAM in the account.,DS0026,Active Directory,Active Directory Object Enumeration,Iam User,Enumerates,Active Directory
ListSAMLProviderTags,Lists the tags that are attached to the specified Security Assertion Markup Language (SAML) identity provider. The returned list of tags is sorted by tag key.,DS0026,Active Directory,Active Directory Object Enumeration,Iam User,Enumerates,Active Directory
CreateSAMLProvider,"Creates an IAM resource that describes an identity provider (IdP) that supports SAML 2.0.

The SAML provider resource that you create with this operation can be used as a principal in an IAM role's trust policy. Such a policy can enable federated users who sign in using the SAML IdP to assume the role. You can create an IAM role that supports Web-based single sign-on (SSO) to the AWS Management Console or one that supports API access to AWS.

When you create the SAML provider resource, you upload a SAML metadata document that you get from your IdP.",DS0026,Active Directory,Active Directory Object Metadata,User/Process,Create,Saml Provider
AddClientIDToOpenIDConnectProvider,Adds a new client ID (also known as audience) to the list of client IDs already registered for the specified IAM OpenID Connect (OIDC) provider resource.,DS0026,Active Directory,Active Directory Object Modification,User/Process,Modification,Active Directory
