EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
ad_config,OS X Active Directory configuration.,DS0026,Active Directory,Active Directory Metadata,User,Accessed,Active Directory
managed_policies,"The managed configuration policies from AD, MDM, MCX, etc.",DS0026,Active Directory,Active Directory Object Access,Service,Accessed,Active Directory
chrome_extension_content_scripts,Content scripts associated with Chrome extensions,DS0015,Application Log,Application Log Content,User/Process,Accessed,Application
chrome_extensions,Chrome browser extensions,DS0015,Application Log,Application Log Content,User/Process,Accessed,Log
firefox_addons,"Firefox browser extensions, webapps, and addons.",DS0015,Application Log,Application Log Content,User/Process,Accessed,Application Log
ie_extensions,Internet Explorer browser extensions.,DS0015,Application Log,Application Log Content,User/Process,Accessed,Application Log
opera_extensions,Opera browser extensions.,DS0015,Application Log,Application Log Content,User/Process/Service,Accessed,Application Log
safari_extensions,Safari browser extension details for all users.,DS0015,Application Log,Application Log Content,User/Process,Accessed,Application Log
browser_plugins,All C/NPAPI browser plugin details for all users.,DS0015,Application Log,Application Log Content,User/Process,Accessed,Log
homebrew_packages,The installed homebrew package database.,DS0015,Application Log,Application Log Content,User/Process/Service,Accessed,Application Log
certificates,Certificate Authorities installed in Keychains/ca-bundles.,DS0037,Certificate,Certificate Registration,User/Process,Accessed,Registry
shell_history,A line-delimited (command) table of per-user .*_history data.,DS0017,Command,Command Metadata,User,Accessed,Command History
disk_info,Retrieve basic information about the physical disks of a system.,DS0016,Drive,Drive Access,User/Process/Service,Accessed,Disk
disk_encryption,Disk encryption status and information.,DS0016,Drive,Drive Access,User/Process/Service,Accessed,Disk
logical_drives,Details for logical drives on the system. A logical drive generally represents a single partition.,DS0016,Drive,Drive Access,User/Process/Service,Accessed,Disk
disk_events,Track DMG disk image events (appearance/disappearance) when opened,DS0016,Drive,Drive Access,User/Process,Accessed,Disk
device_partitions,Use TSK to enumerate details about partitions on a disk device.,DS0016,Drive,Drive Access,User/Process,Accessed,Disk
device_file,"Similar to the file table, but use TSK and allow block address access",DS0016,Drive,Drive Access,User/Process/Service,Accessed,Disk
usb_devices,USB devices that are actively plugged into the host system.,DS0016,Drive,Drive Creation,Service,Created,Drive
hash,Filesystem hash data.,DS0027,Driver,Drive Metadata,User/Process,Accessed,Drive
time_machine_destinations,Locations backed up to using Time Machine.,DS0016,Drive,Drive Metadata,Service,Accessed,Drive
time_machine_backups,Backups to drives using TimeMachine.,DS0016,Drive,Drive Modification,Service,Modified,Drive
