EVENT PROVIDER,EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
Microsoft-Windows-Security-Auditing,4768,A Kerberos authentication ticket (TGT) was requested.,DS0026,Active Directory,Active Directory Credential Request,User,Requested,Ad Credential
Microsoft-Windows-Security-Auditing,4769,A Kerberos service ticket was requested.,DS0026,Active Directory,Active Directory Credential Request,User,Requested,Ad Credential
Microsoft-Windows-Security-Auditing,4771,Kerberos pre-authentication failed,DS0026,Active Directory,Active Directory Credential Request,User,Requested,Ad Credential
Microsoft-Windows-Security-Auditing,4661,A handle to an object was requested.,DS0026,Active Directory,Active Directory Object Access,User,Requested Access To,Ad Object
Microsoft-Windows-Security-Auditing,4662,An operation was performed on an object.,DS0026,Active Directory,Active Directory Object Access,User,Accessed,Ad Object
Microsoft-Windows-Security-Auditing,4773,A Kerberos service ticket request failed,DS0026,Active Directory,Active Directory Object Access,User,Requested,Service Ticket
Microsoft-Windows-Security-Auditing,4932,Synchronization of a replica of an Active Directory naming context has begun.,DS0026,Active Directory,Active Directory Object Access,User,Accessed,Ad Object
Microsoft-Windows-Security-Auditing,5137,A directory service object was created.,DS0026,Active Directory,Active Directory Object Creation,User,Created,Ad Object
Microsoft-Windows-Security-Auditing,5138,A directory service object was undeleted,DS0026,Active Directory,Active Directory Object Creation,User,Restored,Ad Object
Microsoft-Windows-Security-Auditing,5141,A directory service object was deleted.,DS0026,Active Directory,Active Directory Object Deletion,User,Deleted,Ad Object
Microsoft-Windows-Security-Auditing,4719,System audit policy was changed.,DS0026,Active Directory,Active Directory Object Modification,User,Modified,Ad Object
Microsoft-Windows-Security-Auditing,4737,A security-enabled global group was changed.,DS0026,Active Directory,Active Directory Object Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4770,A Kerberos service ticket was renewed,DS0026,Active Directory,Active Directory Object Modification,User,Modified,Ad Credential
Microsoft-Windows-Security-Auditing,5136,A directory service object was modified.,DS0026,Active Directory,Active Directory Object Modification,User,Modified,Ad Object
Microsoft-Windows-Security-Auditing,5139,A directory service object was moved.,DS0026,Active Directory,Active Directory Object Modification,User,Created,Ad Object
Microsoft-Windows-PowerShell,4103,Module logging.,DS0017,Command,Command Execution,User,Executed,Command
PowerShellCore,4103,Module logging.,DS0017,Command,Command Execution,User,Executed,Command
Microsoft-Windows-Security-Auditing,6416,A new external device was recognized by the system.,DS0016,Drive,Drive Creation,User,Installed,Drive
Microsoft-Windows-Security-Auditing,6423,The installation of this device is forbidden by system policy.,DS0016,Drive,Drive Creation,User,Attempted To Install,Drive
Microsoft-Windows-Security-Auditing,6424,"The installation of this device was allowed, after having previously been forbidden by policy.",DS0016,Drive,Drive Creation,User,Installed,Drive
Microsoft-Windows-Security-Auditing,6419,A request was made to disable a device.,DS0016,Drive,Drive Modification,User,Attempted To Disable,Drive
Microsoft-Windows-Security-Auditing,6420,A device was disabled.,DS0016,Drive,Drive Modification,User,Disabled,Drive
Microsoft-Windows-Security-Auditing,6421,A request was made to enable a device.,DS0016,Drive,Drive Modification,User,Attempted To Enable,Drive
Microsoft-Windows-Security-Auditing,6422,A device was enabled.,DS0016,Drive,Drive Modification,User,Enabled,Drive
Microsoft-Windows-Security-Auditing,4656,A handle to an object was requested.,DS0022,File,File Access,Process/User,Requested Access To,File
Microsoft-Windows-Security-Auditing,4661,A handle to an object was requested.,DS0022,File,File Access,User,Requested Access To,File
Microsoft-Windows-Security-Auditing,4663,An attempt was made to access an object,DS0022,File,File Access,Process/User,Accessed,File
Microsoft-Windows-Security-Auditing,4690,An attempt was made to duplicate a handle to an object.,DS0022,File,File Access,File,Accessed,File Handle
Microsoft-Windows-Security-Auditing,4663,An attempt was made to access an object.,DS0022,File,File Creation,Process/User,Created,File
Microsoft-Windows-Security-Auditing,4660,An object was deleted.,DS0022,File,File Deletion,Process/User,Deleted,Registry
Microsoft-Windows-Security-Auditing,4663,An attempt was made to access an object.,DS0022,File,File Deletion,Process/User,Deleted,File
Microsoft-Windows-Security-Auditing,4664,An attempt was made to create a hard link.,DS0022,File,File Metadata,File,Modified,File
Microsoft-Windows-Security-Auditing,4670,Permissions on an object were changed.,DS0022,File,File Modification,Process/User,Modified,File
Microsoft-Windows-Security-Auditing,5025,The Windows Firewall Service has been stopped.,DS0018,Firewall,Firewall Disable,Process/User,Disabled,Firewall
Microsoft-Windows-Security-Auditing,5034,The Windows Firewall Driver was stopped.,DS0018,Firewall,Firewall Disable,Process/User,Disabled,Firewall
Microsoft-Windows-Security-Auditing,5024,The Windows Firewall Service has started successfully.,DS0018,Firewall,Firewall Enabled,Process/User,Enabled,Firewall
Microsoft-Windows-Windows Firewall With Advanced Security,2002,A Windows Defender Firewall setting has changed.,DS0018,Firewall,Firewall Metadata,Process/User,Modified,Firewall
Microsoft-Windows-Windows Firewall With Advanced Security,2003,A Windows Defender Firewall setting in the Private profile has changed.,DS0018,Firewall,Firewall Metadata,Process/User,Modified,Firewall
Microsoft-Windows-Windows Firewall With Advanced Security,2009,The Windows Firewall service failed to load Group Policy.,DS0018,Firewall,Firewall Metadata,Firewall,Attempted To Load,Configuration
Microsoft-Windows-Security-Auditing,4950,A windows firewall setting has changed,DS0018,Firewall,Firewall Metadata,Process/User,Modified,Firewall Setting
Microsoft-Windows-Security-Auditing,4954,Windows firewall group policy settings has changed,DS0018,Firewall,Firewall Metadata,Process/User,Modified,Firewall Group Policy
Microsoft-Windows-Windows Firewall With Advanced Security,2004,A rule has been added to the Windows Defender Firewall exception list,DS0018,Firewall,Firewall Rule Modification,Process/User,Add,Firewall Rule
Microsoft-Windows-Windows Firewall With Advanced Security,2005,A rule has been modified in the Windows Defender Firewall exception list.,DS0018,Firewall,Firewall Rule Modification,Process/User,Modified,Firewall Rule
Microsoft-Windows-Windows Firewall With Advanced Security,2006,A rule has been deleted in the Windows Defender Firewall exception list,DS0018,Firewall,Firewall Rule Modification,Process/User,Removed,Firewall Rule
Microsoft-Windows-Windows Firewall With Advanced Security,2033,All rules have been deleted from the Windows Firewall configuration on this computer.,DS0018,Firewall,Firewall Rule Modification,User,Removed,Firewall Rule
Microsoft-Windows-Security-Auditing,4946,A change has been made to Windows Firewall exception list. A rule was added.,DS0018,Firewall,Firewall Rule Modification,Process/User,Added,Firewall Rule
Microsoft-Windows-Security-Auditing,4947,A change has been made to Windows Firewall exception list. A rule was modified.,DS0018,Firewall,Firewall Rule Modification,Process/User,Modified,Firewall Rule
Microsoft-Windows-Security-Auditing,4948,A change has been made to Windows Firewall exception list. A rule was deleted.,DS0018,Firewall,Firewall Rule Modification,Process/User,Removed,Firewall Rule
Microsoft-Windows-Security-Auditing,4727,A security-enabled global group was created.,DS0036,Group,Group Creation,User,Created,Group
Microsoft-Windows-Security-Auditing,4731,A security-enabled local group was created.,DS0036,Group,Group Creation,User,Created,Group
Microsoft-Windows-Security-Auditing,4754,A security-enabled universal group was created.,DS0036,Group,Group Creation,User,Created,Group
Microsoft-Windows-Security-Auditing,4730,A security-enabled global group was deleted.,DS0036,Group,Group Deletion,User,Deleted,Group
Microsoft-Windows-Security-Auditing,4734,A security-enabled local group was deleted.,DS0036,Group,Group Deletion,User,Deleted,Group
Microsoft-Windows-Security-Auditing,4758,A security-enabled universal group was deleted.,DS0036,Group,Group Deletion,User,Deleted,Group
Microsoft-Windows-Security-Auditing,4798,A user's local group membership was enumerated.,DS0036,Group,Group Enumeration,User,Enumerated,Group
Microsoft-Windows-Security-Auditing,4799,A security-enabled local group membership was enumerated.,DS0036,Group,Group Enumeration,Group,Enumerated,Group
Microsoft-Windows-Security-Auditing,4729,A member was removed from a security-enabled global group.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4732,A member was added to a security-enabled local group.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4733,A member was removed from a security-enabled local group.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4735,A security-enabled local group was changed.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4755,A security-enabled universal group was changed.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4756,A member was added to a security-enabled universal group.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4757,A member was removed from a security-enabled universal group.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Security-Auditing,4764,A groups type was changed.,DS0036,Group,Group Modification,User,Modified,Group
Microsoft-Windows-Eventlog,1100,The event logging service has shut down.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Eventlog,1101,Audit events have been dropped by the transport.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Eventlog,1102,The audit log was cleared.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Eventlog,1104,The security Log is now full.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Security-Auditing,4616,The system time was changed.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Eventlog,6005,The Event log service was started.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Eventlog,6006,The Event log service was stopped.,DS0013,Sensor Health,Host Status,Sensor Health,Changed,
Microsoft-Windows-Security-Auditing,4624,An account was successfully logged on,DS0028,Logon Session,Logon Session Creation,User,Created Logon From,Ip/Port/Logon Session
Microsoft-Windows-Security-Auditing,4778,A session was reconnected to a Window Station.,DS0028,Logon Session,Logon Session Creation,User,Created Logon From,Ip
Microsoft-Windows-Security-Auditing,4964,Special groups have been assigned to a new logon.,DS0028,Logon Session,Logon Session Creation,User,Created,Logon Session
Microsoft-Windows-Security-Auditing,4610,An authentication package has been loaded by the Local Security Authority.,DS0028,Logon Session,Logon Session Metadata,Logon,Metadata,
Microsoft-Windows-Security-Auditing,4611,A trusted logon process has been registered with the Local Security Authority.,DS0028,Logon Session,Logon Session Metadata,Logon,Metadata,
Microsoft-Windows-Security-Auditing,4614,A notification package has been loaded by the Security Account Manager.,DS0028,Logon Session,Logon Session Metadata,Logon,Metadata,
Microsoft-Windows-Security-Auditing,4622,A security package has been loaded by the Local Security Authority.,DS0028,Logon Session,Logon Session Metadata,Logon,Metadata,
Microsoft-Windows-Security-Auditing,4634,An account was logged off,DS0028,Logon Session,Logon Session Metadata,User,Terminated,Logon Session
Microsoft-Windows-Security-Auditing,4647,User initiated logoff.,DS0028,Logon Session,Logon Session Metadata,User,Terminated,Logon Session
Microsoft-Windows-Security-Auditing,4673,A privileged service was called.,DS0028,Logon Session,Logon Session Metadata,Logon,Metadata,
Microsoft-Windows-Security-Auditing,4674,An operation was attempted on a privileged object.,DS0028,Logon Session,Logon Session Metadata,Logon,Metadata,
Microsoft-Windows-Security-Auditing,4672,Special privileges assigned to new logon.,DS0028,Logon Session,Logon Session Modification,Logon,Modified,
Microsoft-Windows-Security-Auditing,4779,A session was disconnected from a Window Station,DS0028,Logon Session,Logon Session Terminated,User,Disconnected Fom,Host
Microsoft-Windows-Security-Auditing,4656,A handle to an object was requested.,DS0023,Named Pipe,Named Pipe Metadata,Process,Created,Pipe
