EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
ntlm_authenticate,Generated for NTLM messages of type authenticate.,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected Through,Ntlm
ntlm_challenge,Generated for NTLM messages of type challenge.,DS0029,Network Traffic,Network Connection Creation,Service,Connected Through,Ntlm
pop3_login_success,Generated for successful authentications on POP3 connections.,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected Through,Pop3
rdpeudp_established,Generated when RDPEUDP connections are established (both sides SYN),DS0029,Network Traffic,Network Connection Creation,Process/User,Connected To,Rdp
rdpeudp_syn,Generated for RDPEUDP SYN UDP Datagram,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected To,Rdp
rdpeudp_synack,Generated for RDPEUDP SYNACK UDP Datagram,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected To,Rdp
socks_login_userpass_reply,Generated when a SOCKS server replies to a username/password login attempt.,DS0029,Network Traffic,Network Connection Creation,Host,Connected Through,Socks
socks_login_userpass_request,Generated when a SOCKS client performs username and password based login.,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected Through,Socks
ssh2_dh_server_params,Generated if the connection uses a Diffie-Hellman Group Exchange key exchange method.,DS0029,Network Traffic,Network Connection Creation,,Connected Through,Ssh
ssl_client_hello,Generated for an SSL/TLS client’s initial hello message.,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected Through,Ssl
ssl_established,Generated at the end of an SSL/TLS handshake.,DS0029,Network Traffic,Network Connection Creation,Host,Connected Through,Ssl
ssl_rsa_client_pms,Generated if a client uses RSA key exchange.,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected Through,Ssl
ssl_server_hello,Generated for an SSL/TLS server’s initial hello message.,DS0029,Network Traffic,Network Connection Creation,Host,Connected Through,Ssl
ssl_session_ticket_handshake,Generated for SSL/TLS handshake messages that are a part of the stateless-server session resumption mechanism.,DS0029,Network Traffic,Network Connection Creation,Host,Connected Through,Ssl
connection_established,Generated when seeing a SYN-ACK packet from the responder in a TCP handshake.,DS0029,Network Traffic,Network Connection Creation,Host,Connected Through,Tcp
connection_first_ack,Generated for the first ACK packet seen for a TCP connection from its originator.,DS0029,Network Traffic,Network Connection Creation,Process/User,Connected Through,Tcp
connection_SYN_packet,Generated for a SYN packet.,DS0029,Network Traffic,Network Connection Creation,"Process/User, Host",Connected Through,Tcp
ssh_auth_successful,This event is generated when an SSH connection was determined to have had a successful authentication.,DS0029,Network Traffic,Network Connection Creation,Host,Connected Through,Ssh
mime_all_data,Generated for passing on all data decoded from a single email MIME message.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Mime
mime_entity_data,Generated for data decoded from an email MIME entity.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Mime
mime_content_hash,"Generated for decoded MIME entities extracted from email messages, passing on their MD5 checksums.",DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Mime
http_content_type,Generated for reporting an HTTP body’s content type.,DS0029,Network Traffic,Network Traffic Content,Process/User,Communicates With,Http
http_entity_data,"Generated when parsing an HTTP body entity, passing on the data.",DS0029,Network Traffic,Network Traffic Content,Process/User,Communicates With,Http
http_all_headers,"Generated for HTTP headers, passing on all headers of an HTTP message at once.",DS0029,Network Traffic,Network Traffic Flow,Process/User,Communicates With,Http
icmp_unreachable,Generated for ICMP destination unreachable messages.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Icmp
icmp_neighbor_advertisement,Generated for ICMP neighbor advertisement messages.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Icmp
icmp_neighbor_solicitation,Generated for ICMP neighbor solicitation messages.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Icmp
icmp_neighbor_advertisement,Generated for ICMP router advertisement messages.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Icmp
icmp_neighbor_solicitation,Generated for ICMP router solicitation messages.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Icmp
netbios_session_raw_message,Generated for NetBIOS messages of type session message that are not carrying an SMB payload.,DS0029,Network Traffic,Network Traffic Content,Service,Communicates With,Netbios
